arrest_id,dob,sex,arrest_timestamp,incident_offense,ucrcode,charge,charge_description,district,beat,neighborhood,person_id,harm_score,incident_id,first_name,last_name,race,middle_name,latitude,longitude,street,city,zipcode,county,state
32,1/3/2000,M,5/14/2017 21:03,Drugs,1810,1810A DRUGS,Drugs - Drug Violations (Poss./Sell/Man./Del./Trnsprt/Cult.),D3,115,CENTRAL ZONE,14534,11,,Isaiah,Devlin,BLACK,John,35.77,-78.782,100 SW MAYNARD RD,CARY,,Durham County,NC
33,1/21/1993,F,5/14/2017 21:03,Drugs,1834,DRUG VIOLATIONS 1834,Drugs - Equipment/Paraphernalia Possess/Conceal,D3,115,CENTRAL ZONE,14571,3,,Rose,Jackson,WHITE,Mary,35.77,-78.782,100 SW MAYNARD RD,CARY,,Durham County,NC
100000,3/24/1960,M,5/26/2018 10:59,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D1,105,,100000,17,100001,John,Smith,WHITE,,34.245663,-119.038042,480 Mesa Drive,Camarillo,,Wake County,CA
100003,3/18/1988,M,9/13/2018 0:00,Weapons,,WEAPONS,Weapons - Illegal Discharge/Use,D2,115,,12838,14,,Boyd,Navarrete,HISPANIC,Olen,,,415 Delta Street,Cary,,Wake County,NC
10001,1/14/1962,M,1/19/2015 22:18,Sex Offenses,1790,SEX OFFENSE 1790A,Sexual Assault,D1,105,,100001,20,100004,Chris,Jones,WHITE,Harold,34.2272064,-119.0691728,75 E Calle La Guerra,Camarillo,,Catawba County,CA
2782,4/15/1965,F,9/22/2015 22:12,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D1,114,CEDAR CREEK,8552,17,,Patricia,Thompson,WHITE,Beverly,35.78,-78.802,700 CASTALIA DR,CARY,,Wake County,NC
2786,12/26/1988,M,9/22/2015 8:24,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D1,120,CALLEN PARK TOWNHOMES,16217,17,,Jerry,Shoemaker,WHITE,Jay,35.785,-78.777,200 N ACADEMY ST,CARY,,Wake County,NC
2791,6/24/1975,M,9/20/2015 3:26,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D1,114,TCAP ZONE,913,17,,Roger,Chavez,HISPANIC,Ronald,35.79,-78.783,300 N HARRISON AV,CARY,,Wake County,NC
2835,2/24/2003,M,9/11/2015 3:21,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D3,115,PEBBLE CREEK WOODS,335,17,,Eric,Walter,WHITE,Stanley,35.761,-78.789,300 FAIRFIELD LN,CARY,,Wake County,NC
2845,4/12/1990,F,9/8/2015 5:21,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D1,120,MOBILE ESTATES,16247,17,,Marie,Chavez,HISPANIC,Teresa,35.787,-78.762,300 ASHVILLE AV,CARY,,Wake County,NC
3078,11/13/1961,F,7/27/2015 22:30,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D1,120,URBAN TERRACE APARTMENTS,16383,17,,Leslie,Giantonio,WHITE,Linda,35.789,-78.77,100 TERRACE DR,CARY,,Wake County,NC
3081,12/4/1964,M,7/27/2015 5:19,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D2,117,MACARTHUR PARK,12857,17,,David,Henderson,WHITE,Randolph,35.774,-78.837,100 WIDECOMBE CT,CARY,,Wake County,NC
3087,5/30/2001,M,7/25/2015 1:40,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D3,116,WYNDFALL,10234,17,,Young,Thibodeaux,WHITE,Frank,35.719,-78.8,100 WITHWYNDLE CT,CARY,,Wake County,NC
3090,9/30/1970,M,7/24/2015 21:17,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D1,114,WEATHERSTONE,16387,17,,Anthony,Bock,WHITE,Jerry,35.789,-78.817,300 PAINTED FALL WAY,CARY,,Wake County,NC
3272,11/11/1992,M,6/15/2015 23:24,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D2,122,GROVE AT CARY PARK,14840,17,,Brian,Ullom,WHITE,Randy,35.818,-78.898,700 PONY CLUB CIR,CARY,,Wake County,NC
3273,8/26/1973,M,6/15/2015 13:29,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D2,119,TRADITION AT STONEWATER,11042,17,,David,Wilcox,WHITE,Albert,35.843,-78.898,11000 DECREE PL,CARY,,Wake County,NC
3446,7/14/2003,M,5/18/2015 16:31,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D2,122,GROVE AT CARY PARK,8931,17,,Gerald,Zysk,WHITE,Craig,35.818,-78.899,200 PONY CLUB CIR,CARY,,Wake County,NC
3804,7/31/1988,M,3/6/2015 15:07,Simple Assault,810,SIMPLE ASSAULT 0810A,Assault - Simple Physical,D1,114,WEATHERFIELD SUBDIVISION,16786,17,,Ian,Hailes,WHITE,Don,35.791,-78.804,1000 CONTESSA DR,CARY,,Wake County,NC
